10.9.0.44,08:00:27:9b:85:44,7387,50,648599,3642,Sat Mar 14 12:30:47 BRT 2015
10.9.0.44,08:00:27:9b:85:44,12760,64,1102391,4246,Sat Mar 14 13:58:07 BRT 2015
10.9.0.44,08:00:27:9b:85:44,13908,64,1198983,4246,Sat Mar 14 14:11:04 BRT 2015
